"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"68817099999","2021-10-04T15:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","190,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0185,1","+0058,1","10193,1",,"240,M,+0195,1","240,N,+0181,1","99999,9,10180,1","7,1,012,1,+999,9",,"4,99,0139,1,999","SYN07068817 46/// /1914 10185 20058 30180 40193 57012 333 10195 20181 91027=",
"68817099999","2021-10-04T18:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","170,1,N,0103,1","99999,9,9,N","999999,9,9,9","+0166,1","+0062,1","10192,1",,"120,M,+0195,1","120,N,+0165,1","99999,9,10179,1","7,1,001,1,+999,9",,"4,99,0160,1,999","SYN08068817 36/// /1720 10166 20062 30179 40192 57001 333 10195 20165 91031 555 91019=",
"68817099999","2021-10-04T21:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","160,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0181,1","+0021,1","10192,1",,"240,M,+0195,1","240,N,+0165,1","99999,9,10179,1","8,1,003,1,+999,9",,"4,99,0057,1,999","SYN07068817 46/// /1606 10181 20021 30179 40192 58003 333 10195 20165 91011=",
"68817099999","2021-10-05T06:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0144,1","+0033,1","10178,1",,"240,N,+0114,1",,"99999,9,10165,1","3,1,011,1,+999,9",,"4,99,0015,1,999","SYN08068817 36/// /0000 10144 20033 30165 40178 53011 333 20114 91003 555 10195 91017=",
"68817099999","2021-10-05T09:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0216,1","+0068,1","10187,1",,"240,M,+0216,1","240,N,+0114,1","99999,9,10175,1","2,1,007,1,+999,9",,"4,99,0015,1,999","SYN07068817 46/// /0000 10216 20068 30175 40187 52007 333 10216 20114 91003=",
"68817099999","2021-10-05T12:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","150,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0259,1","+0062,1","10168,1",,"240,M,+0264,1","240,N,+0114,1","99999,9,10156,1","7,1,012,1,+999,9",,"4,99,0072,1,999","SYN08068817 36/// /1508 10259 20062 30156 40168 57012 333 10264 20114 91014 555 91016=",
"68817099999","2021-10-05T15:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","150,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0270,1","+0017,1","10160,1",,"240,M,+0279,1","240,N,+0256,1","99999,9,10148,1","7,1,002,1,+999,9",,"4,99,0072,1,999","SYN07068817 46/// /1508 10270 20017 30148 40160 57002 333 10279 20256 91014=",
"68817099999","2021-10-05T18:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","160,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0228,1","+0079,1","10169,1",,"120,M,+0279,1","120,N,+0210,1","99999,9,10157,1","2,1,004,1,+999,9",,"4,99,0108,1,999","SYN08068817 36/// /1613 10228 20079 30157 40169 52004 333 10279 20210 91021 555 91017=",
"68817099999","2021-10-05T21:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","160,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0218,1","+0054,1","10164,1",,"240,M,+0279,1","240,N,+0210,1","99999,9,10152,1","8,1,006,1,+999,9",,"4,99,0144,1,999","SYN07068817 46/// /1616 10218 20054 30152 40164 58006 333 10279 20210 91028=",
"68817099999","2021-10-06T00:00:00","4","-33.9","18.4333333","2.0","CAPE TOWN PORTNET, SF","FM-12","99999","V020","160,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0205,1","+0038,1","10153,1",,"120,M,+0279,1","120,N,+0194,1","99999,9,10141,1","7,1,011,1,+999,9",,"4,99,0072,1,999","SYN08068817 36/// /1607 10205 20038 30141 40153 57011 333 10279 20194 91014 555 91015=",
